,actor_id,actor_name,degree_centrality
489,nm0915989,Hugo Weaving,0.0011604379909545346
6188,nm1347153,Tyler Perry,0.0011604379909545346
2469,nm0001416,Catherine Keener,0.0011604379909545346
8539,nm1950086,Greta Gerwig,0.0011604379909545346
3984,nm0534856,Madhavan,0.0011604379909545346
881,nm0000287,William Baldwin,0.0011604379909545346
7389,nm0356017,Rebecca Hall,0.0011306831706736492
806,nm0001315,Marcia Gay Harden,0.0011306831706736492
4246,nm0305558,Gael García Bernal,0.0011306831706736492
397,nm0000250,Renée Zellweger,0.0011306831706736492
7841,nm1941140,Aaron Groben,0.0011306831706736492
3031,nm0179224,Barry Corbin,0.0011306831706736492
11232,nm0933096,Brian Anthony Wilson,0.0011306831706736492
12637,nm10357774,Jimmy Lyon,0.0011306831706736492
1694,nm0000458,William Hurt,0.0011306831706736492
1828,nm0451600,Anupam Kher,0.0011306831706736492
690,nm0364583,Danielle Harris,0.0011306831706736492
654,nm0267506,Anna Faris,0.0011306831706736492
767,nm0000140,Michael Douglas,0.0011306831706736492
9401,nm2057859,Andrea Riseborough,0.0011306831706736492
7290,nm1086543,Amanda Seyfried,0.0011306831706736492
7326,nm0346595,Noel Gugliemi,0.0011306831706736492
6086,nm1357477,Randy Wayne,0.0011306831706736492
2966,nm0631490,Bill Nighy,0.0011306831706736492
2197,nm0068260,Jamie Bell,0.0011306831706736492
254,nm0001016,David Carradine,0.0011306831706736492
9358,nm2584117,Jamie Bernadette,0.0011306831706736492
1172,nm0000980,Jim Broadbent,0.0011009283503927636
582,nm0001557,Viggo Mortensen,0.0011009283503927636
797,nm0000332,Don Cheadle,0.0011009283503927636
10692,nm4574737,Shannon Brown,0.0011009283503927636
2974,nm0227759,Peter Dinklage,0.0011009283503927636
12284,nm3338354,Kate Lyn Sheil,0.0011009283503927636
1911,nm0736263,Daniel Roebuck,0.0011009283503927636
12328,nm1852669,Jeremiah Benjamin,0.0011009283503927636
912,nm0000144,Cary Elwes,0.0011009283503927636
4018,nm0000205,Parker Posey,0.0011009283503927636
4350,nm0265492,Craig Fairbrass,0.0011009283503927636
953,nm0004936,Ben Foster,0.0011009283503927636
414,nm0000195,Bill Murray,0.0011009283503927636
3733,nm0001305,Lukas Haas,0.0011009283503927636
150,nm0000725,Joey Lauren Adams,0.0011009283503927636
13047,nm3094339,Aidan Bristow,0.0011009283503927636
2133,nm0683253,Rosamund Pike,0.0010711735301118781
1951,nm0001598,Robert Patrick,0.0010711735301118781
188,nm0661164,Kip Pardue,0.0010711735301118781
6568,nm1815557,Harold Dennis,0.0010711735301118781
7786,nm1428821,Joey King,0.0010711735301118781
4439,nm0665114,Vincent Pastore,0.0010711735301118781
4986,nm1284939,Ford Austin,0.0010711735301118781
15044,nm3009275,Sonny Burnette,0.0010711735301118781
553,nm0001212,Joseph Fiennes,0.0010711735301118781
5193,nm0068338,Kristen Bell,0.0010711735301118781
341,nm0000576,Sean Penn,0.0010711735301118781
1029,nm0001084,Ice Cube,0.0010711735301118781
8192,nm1165110,Chris Hemsworth,0.0010711735301118781
116,nm0000106,Drew Barrymore,0.0010711735301118781
853,nm0001298,Richard Grieco,0.0010711735301118781
865,nm0002546,Mena Suvari,0.0010711735301118781
540,nm0004757,Selma Blair,0.0010711735301118781
9553,nm3822770,Rajkummar Rao,0.0010711735301118781
1691,nm0245705,Danny Dyer,0.0010711735301118781
9730,nm9898052,Kelsey Painter,0.0010711735301118781
318,nm0004851,Penélope Cruz,0.0010711735301118781
10330,nm3981484,Asif Ali,0.0010711735301118781
5896,nm1209966,Oscar Isaac,0.0010711735301118781
2418,nm0006969,Elizabeth Banks,0.0010711735301118781
190,nm0000608,Burt Reynolds,0.0010711735301118781
9810,nm8858879,Jacques Aldridge,0.0010711735301118781
1500,nm0001617,Lou Diamond Phillips,0.0010711735301118781
2383,nm0654648,David Oyelowo,0.0010711735301118781
2327,nm0004109,Gulshan Grover,0.0010711735301118781
11220,nm1335704,Fahadh Faasil,0.0010711735301118781
7142,nm1385871,Olga Kurylenko,0.0010414187098309927
276,nm0524197,Josh Lucas,0.0010414187098309927
362,nm0000178,Diane Lane,0.0010414187098309927
1427,nm0002076,Jason Flemyng,0.0010414187098309927
1477,nm0005438,Jeremy Sisto,0.0010414187098309927
1472,nm0001337,Katherine Heigl,0.0010414187098309927
